label,kind,status,occurrences,first_source_url
Update,inline-strong,mapped,6,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/df350599-91f9-42c0-b10d-96a804fad4a4
Update,inline-colon,mapped,6,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/df350599-91f9-42c0-b10d-96a804fad4a4
"Morning Press Release, January 10th, 2025",inline-strong,UNMAPPED,5,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/87fececc-b997-476d-8ec5-d15c5aaea879
"Morning Press Release, January 10th, 2025 8",inline-colon,UNMAPPED,5,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/87fececc-b997-476d-8ec5-d15c5aaea879
Join the Efort,inline-colon,UNMAPPED,3,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/6b2d55ee-73ce-4803-87e8-70af983c3b12
Unsafe Water Alert,inline-strong,UNMAPPED,3,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/8eb5d58b-7eaf-4614-82f2-cbfe7f618631
Initial Protection Actions,heading-h3,mapped,2,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/4f385207-da28-4899-8c19-aa4a7d5d0138
Pasadena Convention Center (,inline-strong,UNMAPPED,2,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/590a9c92-1a6d-49c1-8ac8-128f33c0a63e
A Red Flag Warning is in effect till 10,inline-colon,UNMAPPED,1,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/3dbbd0c6-579a-4cba-bd90-0363e1ce1728
AM Update 1/9/25,inline-colon,UNMAPPED,1,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/167c614e-0fec-466b-8c9b-47296d9c1ee2
Ritchie Valens Recreation Center (closing at 12PM 1.21.25),inline-strong,UNMAPPED,1,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/ba56b23c-42f6-4a70-aec4-54c11a2c08d1
SSM-U010-A,inline-strong,UNMAPPED,1,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/1f0beda0-aa77-441b-8733-c45f57173cb3
"TOP-U007, TOP-U009, SSM-U010-A, SSM-U010-B",inline-strong,UNMAPPED,1,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/05b68c83-2b8b-4148-9331-15a474e4dc6c
"TOP-U007, TOP-U009, SSM-U010-B",inline-strong,UNMAPPED,1,https://www.fire.ca.gov/incidents/2025/1/7/palisades-fire/updates/1f0beda0-aa77-441b-8733-c45f57173cb3
